document_id,title,document_type,domain,department,status,version,owner,path,risk_level,related_documents,keywords,review_date
FAQ-AML-007,AML Record Retrieval Request,Case Repository,AML,AML - Financial Crime & AML,Approved,1.0,Department Head,documents/case_repository/FAQ-AML-007_AML_Record_Retrieval_Request.md,Medium,POL-AML-007; SOP-AML-007; EXM-AML-003; KOD-AML-003,AML; sanctions; screening; suspicious activity; transaction monitoring; aml record retrieval request; FAQ-AML-007; Record; Retrieval,2027-07-01
FAQ-AML-008,Financial Institution Screening Scenario,Case Repository,AML,AML - Financial Crime & AML,Approved,1.0,Department Head,documents/case_repository/FAQ-AML-008_Financial_Institution_Screening_Scenario.md,High,POL-AML-001; SOP-AML-001; EXM-AML-004; KOD-AML-004,AML; sanctions; screening; suspicious activity; transaction monitoring; financial institution screening scenario; FAQ-AML-008; Financial; Institution,2027-07-01
FAQ-Corporate Banking-001,Business Current Account Signatory Update,Case Repository,Corporate Banking,COR - Corporate Banking,Approved,1.0,Department Head,documents/case_repository/FAQ-Corporate_Banking-001_Business_Current_Account_Signatory_Update.md,Medium,POL-Corporate Banking-001; SOP-Corporate Banking-001; EXM-Corporate Banking-001; KOD-Corporate Banking-001,corporate banking; business current account; escrow account; cash management; business current account signatory update; FAQ-Corporate; Banking-001; Business; Current; Account; Signatory; Update,2027-07-01
FAQ-Corporate Banking-002,Escrow Account Instruction Query,Case Repository,Corporate Banking,COR - Corporate Banking,Approved,1.0,Department Head,documents/case_repository/FAQ-Corporate_Banking-002_Escrow_Account_Instruction_Query.md,Medium,POL-Corporate Banking-002; SOP-Corporate Banking-002; EXM-Corporate Banking-002; KOD-Corporate Banking-002,corporate banking; business current account; escrow account; cash management; escrow account instruction query; FAQ-Corporate; Banking-002; Escrow; Account; Instruction,2027-07-01
FAQ-Corporate Banking-003,Cash Management Setup Clarification,Case Repository,Corporate Banking,COR - Corporate Banking,Approved,1.0,Department Head,documents/case_repository/FAQ-Corporate_Banking-003_Cash_Management_Setup_Clarification.md,Medium,POL-Corporate Banking-003; SOP-Corporate Banking-003; EXM-Corporate Banking-003; KOD-Corporate Banking-003,corporate banking; business current account; escrow account; cash management; cash management setup clarification; FAQ-Corporate; Banking-003; Cash; Management; Setup,2027-07-01
FAQ-Corporate Banking-004,Public Limited Service Request Scenario,Case Repository,Corporate Banking,COR - Corporate Banking,Approved,1.0,Department Head,documents/case_repository/FAQ-Corporate_Banking-004_Public_Limited_Service_Request_Scenario.md,Medium,POL-Corporate Banking-004; SOP-Corporate Banking-004; EXM-Corporate Banking-001; KOD-Corporate Banking-001,corporate banking; business current account; escrow account; cash management; public limited service request scenario; FAQ-Corporate; Banking-004; Public; Limited,2027-07-01
FAQ-Corporate Banking-005,Financial Institution Maintenance Query,Case Repository,Corporate Banking,COR - Corporate Banking,Approved,1.0,Department Head,documents/case_repository/FAQ-Corporate_Banking-005_Financial_Institution_Maintenance_Query.md,High,POL-Corporate Banking-005; SOP-Corporate Banking-005; EXM-Corporate Banking-002; KOD-Corporate Banking-002,corporate banking; business current account; escrow account; cash management; financial institution maintenance query; FAQ-Corporate; Banking-005; Financial; Institution; Maintenance,2027-07-01
FAQ-Corporate Banking-006,Corporate Banking Record Retrieval Case,Case Repository,Corporate Banking,COR - Corporate Banking,Approved,1.0,Department Head,documents/case_repository/FAQ-Corporate_Banking-006_Corporate_Banking_Record_Retrieval_Case.md,Medium,POL-Corporate Banking-001; SOP-Corporate Banking-001; EXM-Corporate Banking-003; KOD-Corporate Banking-003,corporate banking; business current account; escrow account; cash management; corporate banking record retrieval case; FAQ-Corporate; Banking-006; Corporate; Banking; Record; Retrieval,2027-07-01
FAQ-Credit-001,Home Loan Income Evidence Query,Case Repository,Credit,CRD - Credit Risk,Approved,1.0,Department Head,documents/case_repository/FAQ-Credit-001_Home_Loan_Income_Evidence_Query.md,Medium,POL-Credit-001; SOP-Credit-001; EXM-Credit-001; KOD-Credit-001,credit; credit risk; loan assessment; working capital; overdraft; home loan income evidence query; FAQ-Credit-001; Home; Loan; Income; Evidence,2027-07-01
FAQ-Credit-002,Personal Loan Address Difference,Case Repository,Credit,CRD - Credit Risk,Approved,1.0,Department Head,documents/case_repository/FAQ-Credit-002_Personal_Loan_Address_Difference.md,Medium,POL-Credit-002; SOP-Credit-002; EXM-Credit-002; KOD-Credit-002,credit; credit risk; loan assessment; working capital; overdraft; personal loan address difference; FAQ-Credit-002; Personal; Loan; Address; Difference,2027-07-01
FAQ-Credit-003,Business Loan Ownership Evidence Query,Case Repository,Credit,CRD - Credit Risk,Approved,1.0,Department Head,documents/case_repository/FAQ-Credit-003_Business_Loan_Ownership_Evidence_Query.md,Medium,POL-Credit-003; SOP-Credit-003; EXM-Credit-003; KOD-Credit-003,credit; credit risk; loan assessment; working capital; overdraft; business loan ownership evidence query; FAQ-Credit-003; Business; Loan; Ownership; Evidence,2027-07-01
FAQ-Credit-004,Working Capital Limit Review Scenario,Case Repository,Credit,CRD - Credit Risk,Approved,1.0,Department Head,documents/case_repository/FAQ-Credit-004_Working_Capital_Limit_Review_Scenario.md,Medium,POL-Credit-004; SOP-Credit-004; EXM-Credit-004; KOD-Credit-004,credit; credit risk; loan assessment; working capital; overdraft; working capital limit review scenario; FAQ-Credit-004; Working; Capital; Limit; Review,2027-07-01
FAQ-Credit-005,Overdraft Renewal Document Query,Case Repository,Credit,CRD - Credit Risk,Approved,1.0,Department Head,documents/case_repository/FAQ-Credit-005_Overdraft_Renewal_Document_Query.md,Medium,POL-Credit-005; SOP-Credit-005; EXM-Credit-001; KOD-Credit-001,credit; credit risk; loan assessment; working capital; overdraft; overdraft renewal document query; FAQ-Credit-005; Renewal,2027-07-01
FAQ-Credit-006,Private Limited Credit Review Clarification,Case Repository,Credit,CRD - Credit Risk,Approved,1.0,Department Head,documents/case_repository/FAQ-Credit-006_Private_Limited_Credit_Review_Clarification.md,Medium,POL-Credit-006; SOP-Credit-006; EXM-Credit-002; KOD-Credit-002,credit; credit risk; loan assessment; working capital; overdraft; private limited credit review clarification; FAQ-Credit-006; Private; Limited; Review,2027-07-01
FAQ-Credit-007,Partnership Credit Exception Scenario,Case Repository,Credit,CRD - Credit Risk,Approved,1.0,Department Head,documents/case_repository/FAQ-Credit-007_Partnership_Credit_Exception_Scenario.md,Medium,POL-Credit-001; SOP-Credit-001; EXM-Credit-003; KOD-Credit-003,credit; credit risk; loan assessment; working capital; overdraft; partnership credit exception scenario; FAQ-Credit-007; Partnership; Exception,2027-07-01
FAQ-Credit-008,Trust Credit Eligibility Question,Case Repository,Credit,CRD - Credit Risk,Approved,1.0,Department Head,documents/case_repository/FAQ-Credit-008_Trust_Credit_Eligibility_Question.md,Medium,POL-Credit-002; SOP-Credit-002; EXM-Credit-004; KOD-Credit-004,credit; credit risk; loan assessment; working capital; overdraft; trust credit eligibility question; FAQ-Credit-008; Trust; Eligibility; Question,2027-07-01
FAQ-Customer Onboarding-001,Account Opening Form Correction,Case Repository,Customer Onboarding,OPS - Banking Operations,Approved,1.0,Department Head,documents/case_repository/FAQ-Customer_Onboarding-001_Account_Opening_Form_Correction.md,Medium,POL-Customer Onboarding-001; SOP-Customer Onboarding-001; EXM-Customer Onboarding-001; KOD-Customer Onboarding-001,customer onboarding; account opening; consent; data quality; approval routing; account opening form correction; FAQ-Customer; Onboarding-001; Account; Opening; Form; Correction,2027-07-01
FAQ-Customer Onboarding-002,Missing Consent Capture Scenario,Case Repository,Customer Onboarding,OPS - Banking Operations,Approved,1.0,Department Head,documents/case_repository/FAQ-Customer_Onboarding-002_Missing_Consent_Capture_Scenario.md,Medium,POL-Customer Onboarding-002; SOP-Customer Onboarding-002; EXM-Customer Onboarding-002; KOD-Customer Onboarding-002,customer onboarding; account opening; consent; data quality; approval routing; missing consent capture scenario; FAQ-Customer; Onboarding-002; Missing; Capture,2027-07-01
FAQ-Customer Onboarding-003,High Risk Onboarding Approval Delay,Case Repository,Customer Onboarding,OPS - Banking Operations,Approved,1.0,Department Head,documents/case_repository/FAQ-Customer_Onboarding-003_High_Risk_Onboarding_Approval_Delay.md,High,POL-Customer Onboarding-003; SOP-Customer Onboarding-003; EXM-Customer Onboarding-003; KOD-Customer Onboarding-003,customer onboarding; account opening; consent; data quality; approval routing; high risk onboarding approval delay; FAQ-Customer; Onboarding-003; High; Risk; Onboarding; Approval; Delay,2027-07-01
FAQ-Customer Onboarding-004,Data Quality Exception Clarification,Case Repository,Customer Onboarding,OPS - Banking Operations,Approved,1.0,Department Head,documents/case_repository/FAQ-Customer_Onboarding-004_Data_Quality_Exception_Clarification.md,Medium,POL-Customer Onboarding-004; SOP-Customer Onboarding-004; EXM-Customer Onboarding-004; KOD-Customer Onboarding-004,customer onboarding; account opening; consent; data quality; approval routing; data quality exception clarification; FAQ-Customer; Onboarding-004; Data; Quality; Exception,2027-07-01
FAQ-Customer Onboarding-005,Sole Proprietor Onboarding Query,Case Repository,Customer Onboarding,OPS - Banking Operations,Approved,1.0,Department Head,documents/case_repository/FAQ-Customer_Onboarding-005_Sole_Proprietor_Onboarding_Query.md,Medium,POL-Customer Onboarding-005; SOP-Customer Onboarding-005; EXM-Customer Onboarding-001; KOD-Customer Onboarding-001,customer onboarding; account opening; consent; data quality; approval routing; sole proprietor onboarding query; FAQ-Customer; Onboarding-005; Sole; Proprietor; Onboarding,2027-07-01
FAQ-Customer Onboarding-006,Partnership Account Opening Scenario,Case Repository,Customer Onboarding,OPS - Banking Operations,Approved,1.0,Department Head,documents/case_repository/FAQ-Customer_Onboarding-006_Partnership_Account_Opening_Scenario.md,Medium,POL-Customer Onboarding-006; SOP-Customer Onboarding-006; EXM-Customer Onboarding-002; KOD-Customer Onboarding-002,customer onboarding; account opening; consent; data quality; approval routing; partnership account opening scenario; FAQ-Customer; Onboarding-006; Partnership; Account; Opening,2027-07-01
FAQ-Customer Onboarding-007,NGO Onboarding Evidence Query,Case Repository,Customer Onboarding,OPS - Banking Operations,Approved,1.0,Department Head,documents/case_repository/FAQ-Customer_Onboarding-007_NGO_Onboarding_Evidence_Query.md,Medium,POL-Customer Onboarding-007; SOP-Customer Onboarding-007; EXM-Customer Onboarding-003; KOD-Customer Onboarding-003,customer onboarding; account opening; consent; data quality; approval routing; ngo onboarding evidence query; FAQ-Customer; Onboarding-007; NGO; Onboarding; Evidence,2027-07-01
FAQ-Customer Onboarding-008,Government Entity Onboarding Question,Case Repository,Customer Onboarding,OPS - Banking Operations,Approved,1.0,Department Head,documents/case_repository/FAQ-Customer_Onboarding-008_Government_Entity_Onboarding_Question.md,Medium,POL-Customer Onboarding-001; SOP-Customer Onboarding-001; EXM-Customer Onboarding-004; KOD-Customer Onboarding-004,customer onboarding; account opening; consent; data quality; approval routing; government entity onboarding question; FAQ-Customer; Onboarding-008; Government; Entity; Onboarding; Question,2027-07-01
FAQ-KYC-001,Address Mismatch During Account Opening,Case Repository,KYC,CMP - Compliance,Approved,1.0,Department Head,documents/case_repository/FAQ-KYC-001_Address_Mismatch_During_Account_Opening.md,Medium,POL-KYC-001; SOP-KYC-001; EXM-KYC-001; KOD-KYC-001,KYC; customer identification; due diligence; beneficial ownership; verification; address mismatch during account opening; FAQ-KYC-001; Address; Mismatch; During; Account; Opening,2027-07-01
FAQ-KYC-002,Expired Identity Document During Review,Case Repository,KYC,CMP - Compliance,Approved,1.0,Department Head,documents/case_repository/FAQ-KYC-002_Expired_Identity_Document_During_Review.md,Medium,POL-KYC-002; SOP-KYC-002; EXM-KYC-002; KOD-KYC-002,KYC; customer identification; due diligence; beneficial ownership; verification; expired identity document during review; FAQ-KYC-002; Expired; Identity; During; Review,2027-07-01
FAQ-KYC-003,Missing Beneficial Owner Percentage,Case Repository,KYC,CMP - Compliance,Approved,1.0,Department Head,documents/case_repository/FAQ-KYC-003_Missing_Beneficial_Owner_Percentage.md,Medium,POL-KYC-003; SOP-KYC-003; EXM-KYC-003; KOD-KYC-003,KYC; customer identification; due diligence; beneficial ownership; verification; missing beneficial owner percentage; FAQ-KYC-003; Missing; Beneficial; Owner; Percentage,2027-07-01
FAQ-KYC-004,NRI Identity Validation Query,Case Repository,KYC,CMP - Compliance,Approved,1.0,Department Head,documents/case_repository/FAQ-KYC-004_NRI_Identity_Validation_Query.md,Medium,POL-KYC-004; SOP-KYC-004; EXM-KYC-004; KOD-KYC-004,KYC; customer identification; due diligence; beneficial ownership; verification; nri identity validation query; FAQ-KYC-004; NRI; Identity; Validation,2027-07-01
FAQ-KYC-005,Minor Account KYC Clarification,Case Repository,KYC,CMP - Compliance,Approved,1.0,Department Head,documents/case_repository/FAQ-KYC-005_Minor_Account_KYC_Clarification.md,Medium,POL-KYC-005; SOP-KYC-005; EXM-KYC-001; KOD-KYC-001,KYC; customer identification; due diligence; beneficial ownership; verification; minor account kyc clarification; FAQ-KYC-005; Minor; Account,2027-07-01
FAQ-KYC-006,Trust Constitution Document Review,Case Repository,KYC,CMP - Compliance,Approved,1.0,Department Head,documents/case_repository/FAQ-KYC-006_Trust_Constitution_Document_Review.md,Medium,POL-KYC-006; SOP-KYC-006; EXM-KYC-002; KOD-KYC-002,KYC; customer identification; due diligence; beneficial ownership; verification; trust constitution document review; FAQ-KYC-006; Trust; Constitution; Review,2027-07-01
FAQ-KYC-007,High Risk Customer Review Delay,Case Repository,KYC,CMP - Compliance,Approved,1.0,Department Head,documents/case_repository/FAQ-KYC-007_High_Risk_Customer_Review_Delay.md,High,POL-KYC-007; SOP-KYC-007; EXM-KYC-003; KOD-KYC-003,KYC; customer identification; due diligence; beneficial ownership; verification; high risk customer review delay; FAQ-KYC-007; High; Risk; Customer; Review; Delay,2027-07-01
FAQ-KYC-008,Government Entity KYC Evidence Query,Case Repository,KYC,CMP - Compliance,Approved,1.0,Department Head,documents/case_repository/FAQ-KYC-008_Government_Entity_KYC_Evidence_Query.md,Medium,POL-KYC-001; SOP-KYC-001; EXM-KYC-004; KOD-KYC-004,KYC; customer identification; due diligence; beneficial ownership; verification; government entity kyc evidence query; FAQ-KYC-008; Government; Entity; Evidence,2027-07-01
FAQ-Payments-001,NEFT Beneficiary Detail Correction,Case Repository,Payments,PAY - Payments,Approved,1.0,Department Head,documents/case_repository/FAQ-Payments-001_NEFT_Beneficiary_Detail_Correction.md,Medium,POL-Payments-001; SOP-Payments-001; EXM-Payments-001; KOD-Payments-001,payments; NEFT; RTGS; IMPS; UPI; SWIFT; ACH; neft beneficiary detail correction; FAQ-Payments-001; Beneficiary; Detail; Correction,2027-07-01
FAQ-Payments-002,RTGS Cutoff Handling Query,Case Repository,Payments,PAY - Payments,Approved,1.0,Department Head,documents/case_repository/FAQ-Payments-002_RTGS_Cutoff_Handling_Query.md,Medium,POL-Payments-002; SOP-Payments-002; EXM-Payments-002; KOD-Payments-002,payments; NEFT; RTGS; IMPS; UPI; SWIFT; ACH; rtgs cutoff handling query; FAQ-Payments-002; Cutoff; Handling,2027-07-01
FAQ-Payments-003,UPI Payment Failure Clarification,Case Repository,Payments,PAY - Payments,Approved,1.0,Department Head,documents/case_repository/FAQ-Payments-003_UPI_Payment_Failure_Clarification.md,Medium,POL-Payments-003; SOP-Payments-003; EXM-Payments-003; KOD-Payments-003,payments; NEFT; RTGS; IMPS; UPI; SWIFT; ACH; upi payment failure clarification; FAQ-Payments-003; Payment; Failure,2027-07-01
FAQ-Payments-004,SWIFT Message Detail Difference,Case Repository,Payments,PAY - Payments,Approved,1.0,Department Head,documents/case_repository/FAQ-Payments-004_SWIFT_Message_Detail_Difference.md,Medium,POL-Payments-004; SOP-Payments-004; EXM-Payments-004; KOD-Payments-004,payments; NEFT; RTGS; IMPS; UPI; SWIFT; ACH; swift message detail difference; FAQ-Payments-004; Message; Detail; Difference,2027-07-01
FAQ-Payments-005,ACH Mandate Mismatch Scenario,Case Repository,Payments,PAY - Payments,Approved,1.0,Department Head,documents/case_repository/FAQ-Payments-005_ACH_Mandate_Mismatch_Scenario.md,Medium,POL-Payments-005; SOP-Payments-005; EXM-Payments-001; KOD-Payments-001,payments; NEFT; RTGS; IMPS; UPI; SWIFT; ACH; ach mandate mismatch scenario; FAQ-Payments-005; Mandate; Mismatch,2027-07-01
FAQ-Payments-006,Payment Reversal Approval Query,Case Repository,Payments,PAY - Payments,Approved,1.0,Department Head,documents/case_repository/FAQ-Payments-006_Payment_Reversal_Approval_Query.md,Medium,POL-Payments-006; SOP-Payments-006; EXM-Payments-002; KOD-Payments-002,payments; NEFT; RTGS; IMPS; UPI; SWIFT; ACH; payment reversal approval query; FAQ-Payments-006; Payment; Reversal; Approval,2027-07-01
FAQ-Payments-007,Business Current Account Payment Query,Case Repository,Payments,PAY - Payments,Approved,1.0,Department Head,documents/case_repository/FAQ-Payments-007_Business_Current_Account_Payment_Query.md,Medium,POL-Payments-001; SOP-Payments-001; EXM-Payments-003; KOD-Payments-003,payments; NEFT; RTGS; IMPS; UPI; SWIFT; ACH; business current account payment query; FAQ-Payments-007; Business; Current; Account; Payment,2027-07-01
FAQ-Payments-008,Financial Institution Payment Scenario,Case Repository,Payments,PAY - Payments,Approved,1.0,Department Head,documents/case_repository/FAQ-Payments-008_Financial_Institution_Payment_Scenario.md,High,POL-Payments-002; SOP-Payments-002; EXM-Payments-004; KOD-Payments-004,payments; NEFT; RTGS; IMPS; UPI; SWIFT; ACH; financial institution payment scenario; FAQ-Payments-008; Financial; Institution; Payment,2027-07-01
FAQ-Retail Banking-001,Savings Account Name Correction,Case Repository,Retail Banking,RET - Retail Banking,Approved,1.0,Department Head,documents/case_repository/FAQ-Retail_Banking-001_Savings_Account_Name_Correction.md,Medium,POL-Retail Banking-001; SOP-Retail Banking-001; EXM-Retail Banking-001; KOD-Retail Banking-001,retail banking; savings account; current account; salary account; deposit servicing; savings account name correction; FAQ-Retail; Banking-001; Savings; Account; Name; Correction,2027-07-01
FAQ-Retail Banking-002,Current Account Service Request Query,Case Repository,Retail Banking,RET - Retail Banking,Approved,1.0,Department Head,documents/case_repository/FAQ-Retail_Banking-002_Current_Account_Service_Request_Query.md,Medium,POL-Retail Banking-002; SOP-Retail Banking-002; EXM-Retail Banking-002; KOD-Retail Banking-002,retail banking; savings account; current account; salary account; deposit servicing; current account service request query; FAQ-Retail; Banking-002; Current; Account,2027-07-01
FAQ-Retail Banking-003,Salary Account Employer Detail Update,Case Repository,Retail Banking,RET - Retail Banking,Approved,1.0,Department Head,documents/case_repository/FAQ-Retail_Banking-003_Salary_Account_Employer_Detail_Update.md,Medium,POL-Retail Banking-003; SOP-Retail Banking-003; EXM-Retail Banking-003; KOD-Retail Banking-003,retail banking; savings account; current account; salary account; deposit servicing; salary account employer detail update; FAQ-Retail; Banking-003; Salary; Account; Employer; Detail; Update,2027-07-01
FAQ-Retail Banking-004,Fixed Deposit Premature Closure Query,Case Repository,Retail Banking,RET - Retail Banking,Approved,1.0,Department Head,documents/case_repository/FAQ-Retail_Banking-004_Fixed_Deposit_Premature_Closure_Query.md,Medium,POL-Retail Banking-004; SOP-Retail Banking-004; EXM-Retail Banking-001; KOD-Retail Banking-001,retail banking; savings account; current account; salary account; deposit servicing; fixed deposit premature closure query; FAQ-Retail; Banking-004; Fixed; Deposit; Premature; Closure,2027-07-01
FAQ-Retail Banking-005,Recurring Deposit Installment Issue,Case Repository,Retail Banking,RET - Retail Banking,Approved,1.0,Department Head,documents/case_repository/FAQ-Retail_Banking-005_Recurring_Deposit_Installment_Issue.md,Medium,POL-Retail Banking-005; SOP-Retail Banking-005; EXM-Retail Banking-002; KOD-Retail Banking-002,retail banking; savings account; current account; salary account; deposit servicing; recurring deposit installment issue; FAQ-Retail; Banking-005; Recurring; Deposit; Installment; Issue,2027-07-01
FAQ-Retail Banking-006,NRI Retail Account Service Scenario,Case Repository,Retail Banking,RET - Retail Banking,Approved,1.0,Department Head,documents/case_repository/FAQ-Retail_Banking-006_NRI_Retail_Account_Service_Scenario.md,Medium,POL-Retail Banking-001; SOP-Retail Banking-001; EXM-Retail Banking-003; KOD-Retail Banking-003,retail banking; savings account; current account; salary account; deposit servicing; nri retail account service scenario; FAQ-Retail; Banking-006; NRI; Retail; Account,2027-07-01
FAQ-Trade Finance-001,Letter of Credit Applicant Name Difference,Case Repository,Trade Finance,TRD - Trade Finance,Approved,1.0,Department Head,documents/case_repository/FAQ-Trade_Finance-001_Letter_of_Credit_Applicant_Name_Difference.md,Medium,POL-Trade Finance-001; SOP-Trade Finance-001; EXM-Trade Finance-001; KOD-Trade Finance-001,trade finance; letter of credit; bank guarantee; export finance; import finance; letter of credit applicant name difference; FAQ-Trade; Finance-001; Letter; Credit; Applicant; Name; Difference,2027-07-01
FAQ-Trade Finance-002,Bank Guarantee Margin Confirmation,Case Repository,Trade Finance,TRD - Trade Finance,Approved,1.0,Department Head,documents/case_repository/FAQ-Trade_Finance-002_Bank_Guarantee_Margin_Confirmation.md,Medium,POL-Trade Finance-002; SOP-Trade Finance-002; EXM-Trade Finance-002; KOD-Trade Finance-002,trade finance; letter of credit; bank guarantee; export finance; import finance; bank guarantee margin confirmation; FAQ-Trade; Finance-002; Bank; Guarantee; Margin; Confirmation,2027-07-01
FAQ-Trade Finance-003,Export Finance Shipping Document Query,Case Repository,Trade Finance,TRD - Trade Finance,Approved,1.0,Department Head,documents/case_repository/FAQ-Trade_Finance-003_Export_Finance_Shipping_Document_Query.md,Medium,POL-Trade Finance-003; SOP-Trade Finance-003; EXM-Trade Finance-003; KOD-Trade Finance-003,trade finance; letter of credit; bank guarantee; export finance; import finance; export finance shipping document query; FAQ-Trade; Finance-003; Export; Finance; Shipping,2027-07-01
FAQ-Trade Finance-004,Import Finance Invoice Discrepancy,Case Repository,Trade Finance,TRD - Trade Finance,Approved,1.0,Department Head,documents/case_repository/FAQ-Trade_Finance-004_Import_Finance_Invoice_Discrepancy.md,Medium,POL-Trade Finance-004; SOP-Trade Finance-004; EXM-Trade Finance-004; KOD-Trade Finance-004,trade finance; letter of credit; bank guarantee; export finance; import finance; import finance invoice discrepancy; FAQ-Trade; Finance-004; Import; Finance; Invoice; Discrepancy,2027-07-01
FAQ-Trade Finance-005,Documentary Collection Acceptance Query,Case Repository,Trade Finance,TRD - Trade Finance,Approved,1.0,Department Head,documents/case_repository/FAQ-Trade_Finance-005_Documentary_Collection_Acceptance_Query.md,Medium,POL-Trade Finance-005; SOP-Trade Finance-005; EXM-Trade Finance-001; KOD-Trade Finance-001,trade finance; letter of credit; bank guarantee; export finance; import finance; documentary collection acceptance query; FAQ-Trade; Finance-005; Documentary; Collection; Acceptance,2027-07-01
FAQ-Trade Finance-006,Trade Transaction Review SLA Query,Case Repository,Trade Finance,TRD - Trade Finance,Approved,1.0,Department Head,documents/case_repository/FAQ-Trade_Finance-006_Trade_Transaction_Review_SLA_Query.md,Medium,POL-Trade Finance-006; SOP-Trade Finance-006; EXM-Trade Finance-002; KOD-Trade Finance-002,trade finance; letter of credit; bank guarantee; export finance; import finance; trade transaction review sla query; FAQ-Trade; Finance-006; Trade; Transaction; Review; SLA,2027-07-01
FAQ-Trade Finance-007,Financial Institution Trade Customer Query,Case Repository,Trade Finance,TRD - Trade Finance,Approved,1.0,Department Head,documents/case_repository/FAQ-Trade_Finance-007_Financial_Institution_Trade_Customer_Query.md,High,POL-Trade Finance-007; SOP-Trade Finance-007; EXM-Trade Finance-003; KOD-Trade Finance-003,trade finance; letter of credit; bank guarantee; export finance; import finance; financial institution trade customer query; FAQ-Trade; Finance-007; Financial; Institution; Trade; Customer,2027-07-01
FAQ-Trade Finance-008,Public Limited Import Finance Scenario,Case Repository,Trade Finance,TRD - Trade Finance,Approved,1.0,Department Head,documents/case_repository/FAQ-Trade_Finance-008_Public_Limited_Import_Finance_Scenario.md,Medium,POL-Trade Finance-001; SOP-Trade Finance-001; EXM-Trade Finance-004; KOD-Trade Finance-004,trade finance; letter of credit; bank guarantee; export finance; import finance; public limited import finance scenario; FAQ-Trade; Finance-008; Public; Limited; Import; Finance,2027-07-01
